Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad;Swedish;Italian;Romanian;Bulgarian;Macedonian;Finnish;Danish;Norwegian;Icelandic;Lithuanian;Hungarian;Slovak;Portuguese_European;Hindi;Thai;Croatian;Georgian;Greek;Serbian;Latvian
lu_part_shields_name;Shields;Щиты;Schilde;Escudos;Štíty;Schilden;Boucliers;シールド;방패;Tarcze;Escudos;Kalkanlar;Щити;盾牌;盾牌;Sköldar;Scudi;Scuturi;Щитове;Штитови;Kilvet;Skjolde;Skjold;Skildir;Skydai;Pajzsok;Štíty;Escudos;ढालें;โล่;Štitovi;ფარები;Ασπίδες;Štitovi;Vairogi
lu_part_shields_switch;Change style;Изменить стиль;Stil ändern;Cambiar estilo;Změnit styl;Stijl wijzigen;Changer le style;スタイルを変更;스타일 변경;Zmień styl;Alterar estilo;Stili değiştir;Змінити стиль;更换样式;更換樣式;Ändra stil;Cambia stile;Schimbă stilul;Смени стила;Промени стил;Vaihda tyyli;Skift stil;Bytt stil;Breyta stíl;Keisti stilių;Stílus váltása;Zmeniť štýl;Mudar estilo;शैली बदलें;เปลี่ยนสไตล์;Promijeni stil;სტილის შეცვლა;Αλλαγή στυλ;Promeni stil;Mainīt stilu
lu_part_head_name;Figurehead;Носовая фигура;Galionsfigur;Figura de proa;Příďová figura;Boegbeeld;Figure de proue;船首像;선수상;Figura dziobowa;Figura de proa;Pruva figürü;Носова фігура;船首像;船首像;Galjonsfigur;Polena;Figurină de prova;Фигура на носа;Носна фигура;Keulakuva;Gallionsfigur;Gallionsfigur;Galjón;Laivapriekio figūra;Hajóorrdísz;Figúra na prove;Figura de proa;जहाज़ की अग्रप्रतिमा;รูปสลักหัวเรือ;Pramčana figura;გემის ცხვირის ფიგურა;Ακρόπρωρο;Pramčana figura;Priekšgala figūra
lu_part_head_switch;Change style;Изменить стиль;Stil ändern;Cambiar estilo;Změnit styl;Stijl wijzigen;Changer le style;スタイルを変更;스타일 변경;Zmień styl;Alterar estilo;Stili değiştir;Змінити стиль;更换样式;更換樣式;Ändra stil;Cambia stile;Schimbă stilul;Смени стила;Промени стил;Vaihda tyyli;Skift stil;Bytt stil;Breyta stíl;Keisti stilių;Stílus váltása;Zmeniť štýl;Mudar estilo;शैली बदलें;เปลี่ยนสไตล์;Promijeni stil;სტილის შეცვლა;Αλλαγή στυλ;Promeni stil;Mainīt stilu
lu_part_turrets_name;Turrets;Баллисты;Geschütztürme;Torretas;Věže;Torens;Tourelles;砲塔;포탑;Wieżyczki;Torres;Taretler;Балісти;炮塔;砲塔;Torn;Torrette;Turele;Кули;Кули;Tornit;Tårne;Tårn;Turnar;Bokšteliai;Tornyok;Veže;Torretas;बुर्ज;ป้อมปืน;Tornjevi;კოშკები;Πυργίσκοι;Tornjevi;Torņi
lu_part_turrets_enable;Activate;Активировать;Aktivieren;Activar;Aktivovat;Activeren;Activer;有効にする;활성화;Aktywuj;Ativar;Etkinleştir;Активувати;激活;啟用;Aktivera;Attiva;Activează;Активирай;Активирај;Aktivoi;Aktivér;Aktiver;Virkja;Aktyvuoti;Aktivál;Aktivovať;Ativar;सक्रिय करें;เปิดใช้งาน;Aktiviraj;გააქტიურება;Ενεργοποίησε;Aktiviraj;Aktivizēt
lu_part_turrets_disable;Deactivate;Деактивировать;Deaktivieren;Desactivar;Deaktivovat;Deactiveren;Désactiver;無効にする;비활성화;Dezaktywuj;Desativar;Devre dışı bırak;Деактивувати;停用;停用;Inaktivera;Disattiva;Dezactivează;Деактивирай;Деактивирај;Poista käytöstä;Deaktivér;Deaktiver;Afvirkja;Deaktyvuoti;Deaktivál;Deaktivovať;Desativar;निष्क्रिय करें;ปิดใช้งาน;Deaktiviraj;გამორთვა;Απενεργοποίησε;Deaktiviraj;Deaktivizēt
lu_part_turrets_upgrade;Adds a pair of mini-turrets that fire bolts at enemies;Добавляет пару мини-баллист, стреляющих по врагам болтами;Fügt ein Paar Mini-Geschütze hinzu, die Bolzen auf Feinde abfeuern;Añade un par de minitorretas que disparan virotes a los enemigos;Přidává dvojici minivěží, které střílejí šipky po nepřátelích;Voegt een paar minigeschutstorens toe die kruisboogbouten op vijanden afvuren;Ajoute deux mini-tourelles qui tirent des carreaux sur les ennemis;敵にボルトを発射するミニ砲塔を2基追加します;적에게 볼트를 발사하는 미니 포탑 한 쌍을 추가합니다;Dodaje parę mini-wieżyczek strzelających bełtami w przeciwników;Adiciona um par de minitorres que disparam virotes nos inimigos;Düşmanlara arbalet okları atan bir çift mini taret ekler;Додає пару міні-баліст, що стріляють по ворогах болтами;添加一对向敌人发射弩箭的微型炮塔;新增一對向敵人發射弩箭的微型砲塔;Lägger till ett par minitorn som avfyrar armborstpilar mot fiender;Aggiunge una coppia di mini-torrette che sparano dardi ai nemici;Adaugă o pereche de mini-turele care trag proiectile în inamici;Добавя двойка мини-кули, които изстрелват арбалетни стрели по враговете;Додава пар мини-кули што истрелуваат самострелски стрели кон непријателите;Lisää kaksi pientä tykkitornia, jotka ampuvat vasamia vihollisia kohti;Tilføjer et par minitårne, der affyrer bolte mod fjender;Legger til et par minitårn som skyter armbrøstbolter mot fiender;Bætir við tveimur litlum turnum sem skjóta lásbogaörvum á óvini;Prideda porą mažų bokštelių, kurie šaudo arbaleto strėlėmis į priešus;Hozzáad egy pár minilövegtornyot, amelyek vesszőket lőnek az ellenségre;Pridáva pár miniveží, ktoré strieľajú šípy do kuše na nepriateľov;Adiciona um par de mini-torretas que disparam virotes nos inimigos;दुश्मनों पर क्रॉसबो के तीर चलाने वाले दो छोटे बुर्ज जोड़ता है;เพิ่มป้อมปืนขนาดเล็กสองป้อมที่ยิงลูกศรหน้าไม้ใส่ศัตรู;Dodaje dvije male kupole koje ispaljuju samostrelske strijele na neprijatelje;ამატებს ორ მცირე კოშკურას, რომლებიც მტრებს არბალეტის ისრებს ესვრიან;Προσθέτει δύο μικρούς πυργίσκους που εκτοξεύουν βλήματα βαλλίστρας στους εχθρούς;Dodaje dve male kupole koje ispaljuju samostrelske strele na neprijatelje;Pievieno divus nelielus torņus, kas šauj arbaleta bultas uz ienaidniekiem
lu_controller_message_unknownupgrade;Unknown upgrade;Неизвестное улучшение;Unbekanntes Upgrade;Mejora desconocida;Neznámé vylepšení;Onbekende upgrade;Amélioration inconnue;不明なアップグレード;알 수 없는 업그레이드;Nieznane ulepszenie;Melhoria desconhecida;Bilinmeyen yükseltme;Невідоме покращення;未知升级;未知升級;Okänd uppgradering;Potenziamento sconosciuto;Îmbunătățire necunoscută;Неизвестно подобрение;Непознато подобрување;Tuntematon parannus;Ukendt opgradering;Ukjent oppgradering;Óþekkt uppfærsla;Nežinomas patobulinimas;Ismeretlen fejlesztés;Neznáme vylepšenie;Melhoria desconhecida;अज्ञात उन्नयन;การอัปเกรดที่ไม่รู้จัก;Nepoznato poboljšanje;უცნობი გაუმჯობესება;Άγνωστη αναβάθμιση;Nepoznato unapređenje;Nezināms uzlabojums
lu_controller_message_unknownitem;Unknown item;Неизвестный предмет;Unbekannter Gegenstand;Objeto desconocido;Neznámý předmět;Onbekend voorwerp;Objet inconnu;不明なアイテム;알 수 없는 아이템;Nieznany przedmiot;Item desconhecido;Bilinmeyen öğe;Невідомий предмет;未知物品;未知物品;Okänt föremål;Oggetto sconosciuto;Obiect necunoscut;Неизвестен предмет;Непознат предмет;Tuntematon esine;Ukendt genstand;Ukjent gjenstand;Óþekktur hlutur;Nežinomas daiktas;Ismeretlen tárgy;Neznámy predmet;Item desconhecido;अज्ञात वस्तु;ไอเทมที่ไม่รู้จัก;Nepoznati predmet;უცნობი ნივთი;Άγνωστο αντικείμενο;Nepoznat predmet;Nezināms priekšmets
lu_box_name;Box;Ящик;Kiste;Caja;Bedna;Kist;Caisse;箱;상자;Skrzynia;Caixa;Kutu;Ящик;箱子;箱子;Låda;Cassa;Cutie;Кутия;Кутија;Laatikko;Kasse;Kasse;Kassi;Dėžė;Láda;Debna;Caixa;डिब्बा;กล่อง;Kutija;ყუთი;Κουτί;Kutija;Kaste
lu_box_climb;Climb;Залезть;Klettern;Escalar;Vylézt;Beklimmen;Grimper;登る;오르기;Wspinaj się;Escalar;Tırman;Видряпатися;攀爬;攀爬;Klättra;Arrampicati;Cațără-te;Изкачи се;Искачи се;Kiipeä;Klatr;Klatre;Klifra;Užlipti;Mássz fel;Vyliezť;Escalar;चढ़ें;ปีน;Popni se;აცოცება;Σκαρφάλωσε;Popni se;Uzkāpt
lu_part_wisp_upgrade;Mounts the Wisplight atop the mast;Устанавливает «Свет светлячка» на вершине мачты;Befestigt das Irrlicht oben am Mast;Coloca la Luz de Wisp en lo alto del mástil;Připevní Bludné světélko na vrchol stěžně;Bevestigt de Wisplight boven op de mast;Fixe la Lumière de feu-follet au sommet du mât;ウィスプライトをマストの頂上に取り付けます;위습등을 돛대 꼭대기에 설치합니다;Mocuje Światełko ognika na szczycie masztu;Instala a Luz de Wisp no topo do mastro;Peri Işığı'nı direğin tepesine yerleştirir;Встановлює Світлячок на вершину щогли;将冥火之光安装在桅杆顶端;將幽光安裝在桅杆頂端;Fäster ett Lysande irrbloss högst upp på masten;Monta il Fuoco fatuo in cima all’albero;Montează Lumina de Wisp în vârful catargului;Монтира блуждаещата светлина на върха на мачтата;Ја поставува светлечката на врвот на јарболот;Kiinnittää virvatulen maston huipulle;Monterer lygtemandslyset øverst på masten;Fester lyktemannen på toppen av masten;Festir ljómaluktina efst á mastrið;Pritvirtina Sielos šviesą stiebo viršuje;A Tündérfényt az árbóc tetejére rögzíti;Upevní bludičku na vrchol sťažňa;Monta o fogo-fátuo no topo do mastro;भटकती रोशनी को मस्तूल के शीर्ष पर लगाता है;ติดตั้งภูติแสงนำทางไว้บนยอดเสากระโดง;Postavlja svjetlucavca na vrh jarbola;მოციმციმე შუქს ანძის წვერზე ამაგრებს;Τοποθετεί το φωτεινό πνεύμα στην κορυφή του ιστού;Postavlja ognjika na vrh jarbola;Piestiprina kvēlojošo gaismu masta galā
lu_part_wisp_name;Wisplight;Свет светлячка;Irrlicht;Luz de Wisp;Bludné světélko;Wisplight;Lumière de feu-follet;ウィスプライト;위습등;Światełko ognika;Luz de Wisp;Peri Işığı;Світлячок;冥火之光;幽光;Lysande irrbloss;Fuoco fatuo;Lumină de Wisp;Блуждаеща светлина;Светлечка;Virvatuli;Lygtemandslys;Lyktemann;Ljómalukt;Sielos šviesa;Tündérfény;Bludička;Fogo-fátuo;भटकती रोशनी;ภูติแสงนำทาง;Svjetlucavac;მოციმციმე შუქი;Φωτεινό πνεύμα;Ognjik;Kvēlojoša gaisma
lu_part_maptable_name;Small Cartography Table;Небольшой стол картографа;Kleiner Kartografietisch;Mesa pequeña de cartografía;Malý kartografický stůl;Kleine cartografietafel;Petite table de cartographie;小型地図製作テーブル;소형 지도 제작 테이블;Mały stół kartograficzny;Mesa pequena de cartografia;Küçük haritacılık masası;Невеликий стіл мапознавця;小型制图台;小型製圖桌;Litet kartografibord;Piccolo tavolo per la cartografia;Masă mică de cartografie;Малка картографска маса;Мала картографска маса;Pieni karttapöytä;Lille kartografibord;Lite kartografibord;Lítil kortagerðarstöð;Mažas kartografijos stalas;Kis térképészasztal;Malý kartografický stôl;Pequena mesa de cartografia;छोटी मानचित्रण मेज़;โต๊ะแผนที่ขนาดเล็ก;Mali kartografski stol;პატარა კარტოგრაფიის მაგიდა;Μικρό τραπέζι χαρτογράφησης;Mali kartografski sto;Mazs kartogrāfijas galds
lu_part_maptable_upgrade;With this table, you can record and share your explorations of the tenth world.;За этим столом можно записывать и делиться своими открытиями в десятом мире.;Mit diesem Tisch kannst du deine Erkundungen der zehnten Welt aufzeichnen und teilen.;Con esta mesa puedes registrar y compartir tus exploraciones del décimo mundo.;U tohoto stolu můžeš zaznamenávat a sdílet své objevy z desátého světa.;Met deze tafel kun je je verkenningen van de tiende wereld vastleggen en delen.;Avec cette table, tu peux consigner et partager tes explorations du dixième monde.;このテーブルで、第十世界での探索を記録し共有できます。;이 탁자에서 열 번째 세계의 탐험을 기록하고 공유할 수 있습니다.;Przy tym stole możesz zapisywać i udostępniać swoje odkrycia Dziesiątego Świata.;Com esta mesa, você pode registrar e compartilhar suas explorações do décimo mundo.;Bu masa ile onuncu dünyadaki keşiflerini kaydedip paylaşabilirsin.;За цим столом можна записувати й ділитися своїми відкриттями у десятому світі.;你可以在此记录并分享你在第十世界的探索。;你可以在此記錄並分享你在第十世界的探索。;Med detta bord kan du anteckna och dela dina upptäckter i den tionde världen.;Con questo tavolo puoi registrare e condividere le tue esplorazioni del decimo mondo.;Cu această masă poți nota și împărtăși explorările tale din a zecea lume.;На тази маса можеш да записваш и споделяш откритията си в десетия свят.;Со оваа маса можеш да ги запишуваш и споделуваш твоите истражувања на десеттиот свет.;Tämän pöydän avulla voit kirjata ja jakaa tutkimusretkesi kymmenennessä maailmassa.;Med dette bord kan du registrere og dele dine udforskninger af den tiende verden.;Med dette bordet kan du registrere og dele dine utforskninger av den tiende verden.;Með þessu borði geturðu skráð og deilt könnunum þínum á tíunda heiminum.;Prie šio stalo gali užrašyti ir dalintis savo tyrinėjimais dešimtajame pasaulyje.;Ezzel az asztallal rögzítheted és megoszthatod a tizedik világ felfedezéseit.;Pri tomto stole môžeš zapisovať a zdieľať svoje prieskumy desiateho sveta.;Com esta mesa podes registar e partilhar as tuas explorações do décimo mundo.;इस मेज़ पर आप दसवीं दुनिया की अपनी खोजों को दर्ज कर और साझा कर सकते हैं।;ด้วยโต๊ะนี้ คุณสามารถบันทึกและแบ่งปันการสำรวจของคุณในโลกที่สิบได้;Za ovim stolom možeš zapisivati i dijeliti svoja istraživanja desetog svijeta.;ამ მაგიდასთან შეგიძლია ჩაიწერო და გაუზიარო სხვებს შენი კვლევები მეათე სამყაროში.;Με αυτό το τραπέζι μπορείς να καταγράφεις και να μοιράζεσαι τις εξερευνήσεις σου στον δέκατο κόσμο.;Za ovim stolom možeš da beležiš i deliš svoja istraživanja desetog sveta.;Pie šī galda vari pierakstīt un dalīties ar saviem atklājumiem desmitajā pasaulē.
